file,Municipal_Name,GEO_ID,County,RPC_Name,RPC,FIPS6
Rutland_WestHaven.geojson,WestHaven,5002180875,Rutland,Rutland Regional Planning Commission,RRPC,21135
Rutland_WestRutland.geojson,WestRutland,5002182300,Rutland,Rutland Regional Planning Commission,RRPC,21140
Washington_BarreCity.geojson,BarreCity,5002303250,Washington,Central Vermont Regional Planning Commission,CVRPC,23010
Washington_BarreTown.geojson,BarreTown,5002303250,Washington,Central Vermont Regional Planning Commission,CVRPC,23010
Washington_Berlin.geojson,Berlin,5002305650,Washington,Central Vermont Regional Planning Commission,CVRPC,23015
Washington_Cabot.geojson,Cabot,5002311125,Washington,Central Vermont Regional Planning Commission,CVRPC,23020
Washington_Calais.geojson,Calais,5002311350,Washington,Central Vermont Regional Planning Commission,CVRPC,23025
Washington_Duxbury.geojson,Duxbury,5002318550,Washington,Central Vermont Regional Planning Commission,CVRPC,23030
Washington_EastMontpelier.geojson,East Montpelier,5002321925,Washington,Central Vermont Regional Planning Commission,CVRPC,23035
Washington_Fayston.geojson,Fayston,5002325825,Washington,Central Vermont Regional Planning Commission,CVRPC,23040
Washington_Marshfield.geojson,Marshfield,5002343600,Washington,Central Vermont Regional Planning Commission,CVRPC,23045
Washington_Middlesex.geojson,Middlesex,5002344500,Washington,Central Vermont Regional Planning Commission,CVRPC,23050
Washington_Montpelier.geojson,Montpelier,5002346000,Washington,Central Vermont Regional Planning Commission,CVRPC,23055
Washington_Moretown.geojson,Moretown,5002346225,Washington,Central Vermont Regional Planning Commission,CVRPC,23060
Washington_Northfield.geojson,Northfield,5002350275,Washington,Central Vermont Regional Planning Commission,CVRPC,23065
Washington_Plainfield.geojson,Plainfield,5002355825,Washington,Central Vermont Regional Planning Commission,CVRPC,23070
Washington_Waitsfield.geojson,Waitsfield,5002375325,Washington,Central Vermont Regional Planning Commission,CVRPC,23080
Washington_Warren.geojson,Warren,5002376525,Washington,Central Vermont Regional Planning Commission,CVRPC,23085
Washington_Warren_Flood.geojson,Warren_Flood,5002376525,Washington,Central Vermont Regional Planning Commission,CVRPC,23085
Washington_Warren_Meadow.geojson,Warren_Meadow,5002376525,Washington,Central Vermont Regional Planning Commission,CVRPC,23085
Washington_Waterbury.geojson,Waterbury,5002376975,Washington,Central Vermont Regional Planning Commission,CVRPC,23090
Washington_Woodbury.geojson,Woodbury,5002385525,Washington,Central Vermont Regional Planning Commission,CVRPC,23095
Windham_Brattleboro.geojson,Brattleboro,5002507900,Windham,Windham Regional Commission,WRC,25010
Windham_Dover.geojson,Dover,5002517875,Windham,Windham Regional Commission,WRC,25020
